model,case_id,intervention,target_criterion,criterion,order,expected_changed,predicted_changed,correct,schema_attempts,elapsed_seconds
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,components,baseline_left,False,True,False,1,7.609
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,components,variant_left,False,True,False,1,1.323
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,material_drape,baseline_left,False,False,True,1,1.06
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,material_drape,variant_left,False,False,True,1,0.985
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,motif_texture,baseline_left,False,True,False,1,1.305
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,motif_texture,variant_left,False,True,False,1,1.179
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,sewing_pattern,baseline_left,False,True,False,1,1.666
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,sewing_pattern,variant_left,False,True,False,1,1.773
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,silhouette,baseline_left,True,True,True,1,7.929
llava:7b,BL_AODAI_002,longer front/back panels,silhouette,silhouette,variant_left,True,True,True,1,1.203
llava:7b,BL_AODAI_003,flared hem,silhouette,components,baseline_left,False,True,False,1,1.46
llava:7b,BL_AODAI_003,flared hem,silhouette,components,variant_left,False,True,False,1,1.348
llava:7b,BL_AODAI_003,flared hem,silhouette,material_drape,baseline_left,False,True,False,1,1.205
llava:7b,BL_AODAI_003,flared hem,silhouette,material_drape,variant_left,False,True,False,1,1.286
llava:7b,BL_AODAI_003,flared hem,silhouette,motif_texture,baseline_left,False,True,False,1,1.494
llava:7b,BL_AODAI_003,flared hem,silhouette,motif_texture,variant_left,False,True,False,1,1.208
llava:7b,BL_AODAI_003,flared hem,silhouette,sewing_pattern,baseline_left,False,True,False,1,1.66
llava:7b,BL_AODAI_003,flared hem,silhouette,sewing_pattern,variant_left,False,True,False,1,1.972
llava:7b,BL_AODAI_003,flared hem,silhouette,silhouette,baseline_left,True,True,True,1,1.126
llava:7b,BL_AODAI_003,flared hem,silhouette,silhouette,variant_left,True,True,True,1,1.213
llava:7b,BL_AODAI_004,short sleeves,components,components,baseline_left,True,False,False,1,1.149
llava:7b,BL_AODAI_004,short sleeves,components,components,variant_left,True,True,True,1,1.252
llava:7b,BL_AODAI_004,short sleeves,components,material_drape,baseline_left,False,True,False,1,1.232
llava:7b,BL_AODAI_004,short sleeves,components,material_drape,variant_left,False,True,False,1,1.507
llava:7b,BL_AODAI_004,short sleeves,components,motif_texture,baseline_left,False,True,False,1,1.478
llava:7b,BL_AODAI_004,short sleeves,components,motif_texture,variant_left,False,True,False,1,1.211
llava:7b,BL_AODAI_004,short sleeves,components,sewing_pattern,baseline_left,False,True,False,1,1.566
llava:7b,BL_AODAI_004,short sleeves,components,sewing_pattern,variant_left,False,True,False,1,1.751
llava:7b,BL_AODAI_004,short sleeves,components,silhouette,baseline_left,False,True,False,1,1.873
llava:7b,BL_AODAI_004,short sleeves,components,silhouette,variant_left,False,True,False,1,1.727
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,components,baseline_left,False,True,False,1,1.272
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,components,variant_left,False,True,False,1,1.245
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,material_drape,baseline_left,False,False,True,1,1.026
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,material_drape,variant_left,False,False,True,1,0.955
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,motif_texture,baseline_left,False,True,False,1,1.247
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,motif_texture,variant_left,False,True,False,1,1.233
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,sewing_pattern,baseline_left,False,True,False,1,1.18
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,sewing_pattern,variant_left,False,True,False,1,1.197
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,silhouette,baseline_left,True,True,True,1,1.172
llava:7b,BL_AODAI_005,slimmer body and higher side slit,silhouette,silhouette,variant_left,True,True,True,1,1.169
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,components,baseline_left,False,True,False,1,13.324
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,components,variant_left,False,True,False,1,4.451
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,material_drape,baseline_left,False,True,False,1,5.209
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,material_drape,variant_left,False,True,False,1,4.524
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,motif_texture,baseline_left,False,True,False,1,4.123
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,motif_texture,variant_left,False,True,False,1,4.199
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,sewing_pattern,baseline_left,False,True,False,1,3.695
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,sewing_pattern,variant_left,False,True,False,1,5.528
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,silhouette,baseline_left,True,True,True,1,12.583
minicpm-v:latest,BL_AODAI_002,longer front/back panels,silhouette,silhouette,variant_left,True,True,True,1,3.736
minicpm-v:latest,BL_AODAI_003,flared hem,silhouette,components,baseline_left,False,True,False,1,4.473
minicpm-v:latest,BL_AODAI_003,flared hem,silhouette,components,variant_left,False,True,False,1,4.33
minicpm-v:latest,BL_AODAI_003,flared hem,silhouette,material_drape,baseline_left,False,True,False,1,5.012
minicpm-v:latest,BL_AODAI_003,flared hem,silhouette,material_drape,variant_left,False,True,False,1,4.944
minicpm-v:latest,BL_AODAI_003,flared hem,silhouette,motif_texture,baseline_left,False,True,False,1,3.882
minicpm-v:latest,BL_AODAI_003,flared hem,silhouette,motif_texture,variant_left,False,True,False,1,5.34
