profile_id,profile_role,declared_scope,documentary_basis,source_locator,required_evidence_before_cultural_use,claim_limit
ao_dai_modern_school,documentary_profile,modern ao dai in declared school context,Huynh 2023,doi:10.59600/ijcae.v1i2.11,"dated object or collection record; front-side-back views; component and material record; specialist review",Documentary test slot only; no numeric cultural ground truth
ao_dai_modern_wedding,documentary_profile,modern ao dai in declared wedding context,Huynh 2023,doi:10.59600/ijcae.v1i2.11,"dated object or collection record; ensemble and wearing-context record; specialist review",Documentary test slot only; no numeric cultural ground truth
ao_dai_early_20c,documentary_profile,early twentieth-century ao dai claim,Do 2024,pp.112-119,"object-level date and provenance; construction views; historian review",Broad period anchor only; not a complete period typology
ao_ngu_than_ceremonial,documentary_profile,ao ngu than with declared ceremonial context,Do 2024,pp.112-119,"object-level provenance; five-panel construction evidence; context record; specialist review",Component field is documentary; ceremonial suitability is not validated
ao_tu_than_festival,documentary_profile,ao tu than with declared festival context,Do 2024,pp.112-119,"object-level provenance; four-panel construction evidence; context record; specialist review",Component field is documentary; festival suitability is not validated
khan_dong_aodai_performance,documentary_profile,khan dong and ao dai ensemble in declared performance context,Huynh 2023,doi:10.59600/ijcae.v1i2.11,"object-level ensemble reference; wearing-context record; specialist review",Performance context is a test declaration rather than expert approval
court_inspired_formal,source_sensitive_placeholder,court-inspired formal garment claim,None,pending object-level collection identifier,"museum object identifier; region and reign/date; component and motif sources; curator review",Must remain unscored for cultural correctness until sourced
hmong_festival_reference,documentary_profile,Hmong textile and motif reference in a declared community-specific festival context,Diep Trung Binh 2005,National Library of Vietnam catalogue,"named subgroup/community; object-level textile record; motif placement; maker or community review",Broad Hmong label cannot support subgroup-specific correctness
cham_formal_reference,documentary_profile,Cham textile reference in a declared formal context,"Howard 2008; Nakamura and Sutherland 2019","Textile Society of America proceedings; doi:10.29311/mas.v17i1.2819","object-level textile provenance; technique and motif record; Cham specialist or community review",Textile and representation sources do not define a complete costume profile
dao_red_headwear_reference,source_sensitive_placeholder,Red Dao headwear and ensemble claim,None,pending object-level collection identifier,"named community and locality; object-level record; construction and wearing-context evidence; maker or community review",Must remain unscored for cultural correctness until sourced
generic_ethnic_minorities_prompt,invalid_stress_prompt,deliberately under-specified generic ethnic-minority prompt,None,not applicable,"prompt must be rejected and replaced by a named community and sourced profile",Diagnostic invalid input; never a community representation
mixed_period_stress_case,invalid_stress_prompt,deliberate conflict among period fields,None,not applicable,"conflict must be resolved against dated object-level sources before scoring",Diagnostic anachronism test; never a historical category
